Country,Vaccine,Indicator (e.g. deaths averted),Total cost for the period,Costs per year,Total benefit for the period,Benefits per year,Cost-effectiveness,Start year,End year,Year of dollar rate used,Perspective,Assumptions,Author(s),,,,,,,,,,
Ghana,Rotavirus ,DALYs averted,,"1,505,569",,"18,622",80.85,2003,2008,2009,Healthcare provider,$5 per dose,Abbott et al. 2012,,,,,,,,,,
Ghana,Rotavirus ,DALYs averted,,"1,083,447",,"18,622",58.18,2003,2008,2009,Healthcare provider,$3.50 per dose,Abbott et al. 2012,,,,,,,,,,
Ghana,Rotavirus ,DALYs averted,,"379,910",,"18,622",20.40,2003,2008,2009,Healthcare provider,$1 per dose,Abbott et al. 2012,,,,,,,,,,
Ghana,Rotavirus ,death averted,,"1,505,569",,311,"4,844.17",2003,2008,2009,Healthcare provider,$5 per dose,Abbott et al. 2012,,,,,,,,,,
Ghana,Rotavirus ,death averted,,"1,083,447",,311,"3,485.99",2003,2008,2009,Healthcare provider,$3.50 per dose,Abbott et al. 2012,,,,,,,,,,
Ghana,Rotavirus ,death averted,,"379,910",,311,"1,222.36",2003,2008,2009,Healthcare provider,$1 per dose,Abbott et al. 2012,,,,,,,,,,
Ghana,Rotavirus ,DALYs averted,,"3,200,000",,"12,757",250.84,2012,2031,2015,Health system,??Ghana only? (Scenario 1),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,DALYs averted,,"3,050,000",,"12,757",239.08,2012,2031,2015,Societal,??Ghana only? (Scenario 1),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,DALYs averted,,"4,400,000",,"12,757",344.91,2012,2031,2015,Health system,??total price? (Scenario 2),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,DALYs averted,,"4,250,000",,"12,757",333.15,2012,2031,2015,Societal,??total price? (Scenario 2),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,death averted,,"3,200,000",,447,"7,158.84",2012,2031,2015,Health system,??Ghana only? (Scenario 1),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,death averted,,"3,050,000",,447,"6,823.27",2012,2031,2015,Societal,??Ghana only? (Scenario 1),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,death averted,,"4,400,000",,447,"9,843.40",2012,2031,2015,Health system,??total price? (Scenario 2),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,death averted,,"4,250,000",,447,"9,507.83",2012,2031,2015,Societal,??total price? (Scenario 2),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,Case averted,,"3,200,000",,"111,707",28.65,2012,2031,2015,Health system,??Ghana only? (Scenario 1),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,Case averted,,"3,050,000",,"111,707",27.30,2012,2031,2015,Societal,??Ghana only? (Scenario 1),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,Case averted,,"4,400,000",,"111,707",39.39,2012,2031,2015,Health system,??total price? (Scenario 2),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,Case averted,,"4,250,000",,"111,707",38.05,2012,2031,2015,Societal,??total price? (Scenario 2),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,life year gained,,"3,200,000",,"12,570",254.58,2012,2031,2015,Health system,??Ghana only? (Scenario 1),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,life year gained,,"3,050,000",,"12,570",242.64,2012,2031,2015,Societal,??Ghana only? (Scenario 1),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,life year gained,,"4,400,000",,"12,570",350.04,2012,2031,2015,Health system,??total price? (Scenario 2),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Rotavirus ,life year gained,,"4,250,000",,"12,570",338.11,2012,2031,2015,Societal,??total price? (Scenario 2),Nonvignon et al. 2018,,,,,,,,,,
Ghana,Measles (Thermostable),Case averted,,"11,719,453",,23566,497.30,,,2002,Societal,,Levin et al. 2007,,,,,,,,,,
Ghana,Measles (Thermostable),death averted,,"11,719,453",,350,"33,484.15",,,2002,Societal,,Levin et al. 2007,,,,,,,,,,
Ghana,Measles (Thermostable),DALY averted,,"11,719,453",,"13,600",861.72,,,2002,Societal,,Levin et al. 2007,,,,,,,,,,
Ghana,BCG (Thermostable),Case averted,,"6,260,200",,22,"284,554.55",,,2002,Societal,,Levin et al. 2007,,,,,,,,,,
Ghana,BCG (Thermostable),death averted,,"6,260,200",,5,"1,252,040.00",,,2002,Societal,,Levin et al. 2007,,,,,,,,,,
Ghana,BCG (Thermostable),DALY averted,,"6,260,200",,160,"39,126.25",,,2002,Societal,,Levin et al. 2007,,,,,,,,,,
Ghana,DTP-hep B (Thermostable),Case averted,,"24,367,089",,"161,751",150.65,,,2002,Societal,,Levin et al. 2007,,,,,,,,,,
Ghana,DTP-hep B (Thermostable),death averted,,"24,367,089",,"1,019","23,912.75",,,2002,Societal,,Levin et al. 2007,,,,,,,,,,
