Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,56.92388366,58.9735405,60.79716724,63.20948755,66.88558572,70.63929086,73.31833882,77.20165977,82.06779437,84.83400415,87.61673822,90.86345529,96.83240708,98.96260467,100,105.6290579,110.411388,112.7279419,115.1752231,119.0137776,122.5190851,129.8087342,136.3937731,138.7493922,137.8099839,142.0921544,143.2133838,139.9878825,142.4752178,145.3832227,143.2718476,144.2554461,,
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,111.6552382,124.2403826,137.7984541,147.7196001,180.9975115,184.791742,180.7939492,187.6905701,218.8347171,234.8134952,246.1380464,247.5335126,253.5920513,266.5321256,271.7234321,273.8750437,
Angola,AGO,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,4.29E-08,4.20E-08,4.20E-08,4.20E-08,4.20E-08,5.00E-08,4.55E-08,4.99E-08,5.10E-08,5.93E-08,6.77E-08,1.40E-07,8.05E-07,8.19E-06,0.000186402,0.00358917,0.175888394,0.343779182,0.479088428,3.150011749,16.31765909,33.67183637,100.000002,193.9268583,258.7763461,368.4342735,431.503212,450.0941634,537.2770455,447.2235991,588.9450421,776.0619681,832.3707761,856.0079766,886.4889038,855.2987645,1041.534079,1277.071853,1722.065907,
Albania,ALB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,2.70957289,2.651599627,2.651129788,2.650685586,2.649933845,2.659241005,2.594959161,2.594951218,2.594936204,2.595031676,2.583837518,3.501467956,11.65935113,26.30942075,35.73936836,39.30282022,54.30553674,60.40930628,64.47500069,65.83121853,69.54658904,72.1990493,74.83009089,78.71908959,81.20420711,83.88678088,85.96773151,89.74162869,93.43645735,95.70009277,99.99999919,102.3147847,103.3813409,103.6798547,105.2867666,105.8805415,105.2109083,106.7619848,107.7744589,
Andorra,AND,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,5.540818243,5.975543694,6.48454515,7.252927038,8.409420854,9.820672657,11.44008756,14.11513382,17.02723292,19.91023106,22.56920535,25.35676699,28.80081179,32.22356802,35.72457309,38.79526583,43.01573112,45.5726717,48.27792245,51.60726799,55.38814219,59.2293924,63.20414139,66.07185975,68.63535065,72.02121729,72.59535336,74.21289411,75.32575868,77.38364156,100,102.7695181,106.2641009,109.3243619,112.9871309,116.4892765,120.217507,124.8696969,127.3422082,127.3421906,129.3795928,132.6139114,134.0725499,134.0730334,133.9384682,133.3284247,134.2615868,135.6898205,136.9055941,
Arab World,ARB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,27.95144203,31.24253743,32.884569,31.68062826,33.91443587,37.14172546,39.76188253,40.28390385,38.82642528,36.45899673,36.7289876,36.10515114,37.43583711,38.32720151,38.99841682,40.2993652,40.62613209,41.36017566,41.88877372,41.77882619,43.41132537,45.91748024,45.48020775,43.54527718,47.2219693,52.63338777,51.39686756,53.33496097,55.50697754,60.22585997,70.17897044,78.57388365,88.42230333,104.809921,88.89665179,100,113.1653894,115.6976167,114.6943448,113.6557636,96.06347324,92.92665002,97.82252858,105.4496728,
Argentina,ARG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.19E-11,8.65E-11,1.11E-10,1.40E-10,1.80E-10,2.19E-10,2.74E-10,3.54E-10,3.91E-10,4.21E-10,4.48E-10,5.88E-10,9.66E-10,1.60E-09,2.09E-09,6.22E-09,3.35E-08,8.69E-08,2.27E-07,5.62E-07,1.10E-06,2.26E-06,6.65E-06,3.19E-05,0.00022708,0.001606471,0.002848149,0.006480676,0.031188016,0.981203426,21.37371925,51.40430321,59.66599949,57.54123623,59.18078152,61.05392628,61.02194898,60.73886015,59.70309274,58.60661058,59.21452939,58.5656757,76.46053741,84.48560835,99.9999999,110.3175111,125.4762982,144.2223631,177.6403647,204.9572772,247.8243464,306.5673214,374.9774534,464.7800478,652.0072626,825.3107382,1164.673397,1467.575634,2064.919873,
Armenia,ARM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00192771,0.003458043,0.023127645,0.344871702,14.50977599,37.8942994,45.3184635,53.35614369,59.06444953,59.09622861,58.2844379,60.65611324,62.09353442,64.92568163,69.02218875,71.25839465,74.55043105,77.70597962,82.36022772,84.46612526,91.02805821,94.92547003,100,103.3668246,105.7537532,107.0375085,107.3249846,109.6331606,112.4651028,
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7421981,70.92866756,68.54082999,67.60752688,69.56521739,71.52682256,79.51977401,100,84.5814978,84.04099561,98.62174579,100.9448819,100.1560062,101.6923077,103.164557,101.1764706,104.6052632,
Antigua and Barbuda,ATG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,26.84185093,29.15972047,33.48862336,37.3059176,40.4219367,44.97857918,47.30508828,49.1236093,52.76428764,57.05135444,62.11548627,69.79954142,72.99685363,74.20148923,76.13530609,78.00946061,79.4236698,82.00122765,83.97183078,86.47178375,88.05194955,89.9099525,91.26185303,92.67830888,94.05352945,94.71331119,93.80112323,95.34079829,99.59339406,100,103.7388252,108.2828074,110.2189145,111.8920147,113.0281833,115.3291115,114.2374702,116.4211238,119.9341355,122.1797678,121.0422323,123.662366,
Australia,AUS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,6.396877916,6.60295003,6.597970312,6.716235215,6.936852704,7.143628293,7.335613033,7.69256931,7.865668502,8.239636212,8.662588974,9.111826343,9.675756449,10.54493579,12.27233207,14.29590297,16.30022462,18.16140234,19.65713965,21.35444522,23.49329577,25.73117416,28.74417919,31.66395766,34.15375898,35.73436017,38.04127765,40.72432244,43.66029917,47.69964348,50.60693739,52.14523943,52.92858825,53.40169483,53.94702094,55.16771726,56.65492617,57.3536338,58.08371169,58.29110539,59.79486521,62.55787171,64.34727341,66.35077372,68.5476751,71.15056331,74.77376813,78.52115373,82.07468972,86.17996546,87.18588689,92.63738448,94.35722336,94.2400531,95.63440285,95.10874624,94.60181216,98.14061004,100,
Austria,AUT,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,16.27326465,17.10111063,17.67232248,18.32235753,18.90570259,19.91175357,20.53347141,21.20034981,21.80202251,22.39799668,23.84297912,25.32228633,27.24676291,29.43891295,32.23623927,34.31798338,36.24834219,38.13278946,40.41809329,42.08104378,44.42943075,47.41360793,49.9527441,51.68749495,54.24590872,55.85321255,57.50143953,58.90271984,59.80207889,61.57506756,63.42212282,65.73187498,68.01874813,69.89408258,71.65886823,72.95870139,73.67822412,74.61172393,74.94143704,75.13354918,76.15840153,77.64128588,78.53074108,79.55757181,80.94164989,82.99578235,84.56619623,86.44456017,88.13569436,89.80081047,90.5848209,92.24561228,94.14055457,95.6692918,97.75077551,100,101.6676293,102.8193225,104.5695648,
Azerbaijan,AZE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002554892,0.004689492,0.054648025,0.462936821,6.879553125,44.41827208,56.15320772,61.34317051,60.75112625,62.06465266,69.8182491,71.57418504,74.59059759,79.78319602,87.16470985,99.9984029,111.3274105,134.2413556,171.790054,139.3230593,158.5881861,197.6119018,203.233926,204.0750471,201.3610117,183.6200295,210.481509,245.703375,274.8633945,
Burundi,BDI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.212037163,2.656157517,2.561401317,2.68145802,2.826718436,2.79762122,2.885803191,2.732336576,2.815859,2.966841976,3.120658248,3.163730165,3.299479814,3.481295751,3.914897321,4.740428031,5.123215141,5.85604627,6.588503275,8.310125802,9.671658838,9.085235688,9.600552214,10.2177284,11.97683244,12.58391879,12.04816924,11.63638751,12.04263971,13.81979431,14.6469866,15.24650839,16.07008829,17.31433828,18.46374118,21.4369042,24.53520385,32.48406748,36.20367382,41.61762198,57.82556042,65.75714952,66.43304002,74.36896399,84.14562649,100,102.8456663,111.3544704,138.3198437,152.7864324,165.8673219,179.7408754,205.4302316,221.7731498,233.5378906,283.3609636,286.0825611,318.8366483,309.7470711,
Belgium,BEL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,14.92706512,15.12342599,15.37563815,15.8408737,16.57627463,17.42178281,18.13363946,18.71272471,19.20305223,19.9757497,21.30841526,22.45016621,23.86852734,25.49325485,28.59536098,32.28122334,34.72661131,37.32348798,38.97439906,40.73029004,42.4110648,44.59065298,47.96635128,50.6586303,53.41381012,55.88566395,57.4486632,58.41616236,59.68320313,62.54647966,64.30553885,66.15536776,68.42087458,71.1530787,72.64324125,73.53004775,73.88048638,74.44023214,75.78433321,76.23821066,77.77412061,79.31623013,80.61701887,82.10852918,83.68090933,85.4240445,87.35864569,89.04613922,90.74590339,91.22972579,92.95586991,94.63587616,96.49178654,97.71846,98.67869574,100,101.7432462,103.4912975,105.0783952,
Benin,BEN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,9.742853939,9.844319495,10.21649001,10.47691255,10.43881095,10.65360206,10.77469789,10.78989802,11.14310802,11.52801276,12.10983697,12.30035907,12.95439697,13.57915385,15.60526001,17.82853137,20.33084242,21.38334712,24.02086729,27.14470562,29.91015932,32.14413365,37.33485965,39.10685039,39.87083438,37.92634107,36.55941028,37.66659734,37.43664016,38.26958087,39.10255539,39.3984132,40.59026818,41.55563539,56.11262133,64.5853196,69.04641729,71.57870098,75.3234157,81.75849131,85.30522781,86.98751439,90.07827375,92.83815289,93.55318816,97.57017983,99.61102467,100,106.4380686,109.131171,110.0969511,114.2078365,122.9934988,124.7236236,124.4135106,124.5077503,124.1591345,124.1985021,124.1912586,
Burkina Faso,BFA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,18.75675844,19.11325094,19.4974983,20.50113685,20.87266185,20.73572216,21.21329009,20.27757008,20.22406189,21.62218248,22.00779836,22.75110632,24.41117384,25.06487065,27.82569331,30.1007654,32.12519408,38.1203902,43.66016938,47.04537175,51.13566975,58.08225585,63.33667666,66.76275826,71.10306211,71.64135972,67.09523053,67.92541537,70.2406916,73.63445519,74.96725018,71.99271406,72.15618044,71.11580393,81.52641936,87.0454066,87.34893842,88.70826247,95.75197885,100,99.18022803,102.3337918,106.2613073,107.8390536,107.9367852,111.9729696,111.2307891,112.3375264,120.9192017,123.8278774,132.2557278,141.124726,149.3437923,146.1640011,145.2572303,140.7928513,139.0192364,145.5911485,149.0387913,
Bangladesh,BGD,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.181300223,2.317794683,2.318309778,2.438028663,2.224866341,2.401336174,2.552528834,2.930097967,2.761043492,3.087611869,3.103368232,3.195328944,3.335987953,5.384477485,7.782870047,14.05350949,11.57581684,11.20421507,14.07461011,15.84301534,18.62426731,20.46708088,22.48427799,24.39268862,26.31375099,31.18050968,33.7542752,37.50762611,40.31913598,43.68093476,46.5344946,47.80466852,49.03906245,49.11532711,51.06334722,54.71179208,65.18538704,67.66258311,70.86722687,73.54674346,76.08164917,78.56279358,81.62113899,86.36807478,90.30830414,94.45016871,100,106.4712601,114.8409298,122.6091776,131.3691726,141.6940618,153.262812,164.2593401,173.5708547,183.7642618,196.1276295,208.4418621,220.1092507,
Bulgaria,BGR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,0.061107122,0.062830916,0.064035053,0.063621853,0.065363023,0.06551282,0.066394289,0.066436674,0.062855907,0.067085911,0.08465437,0.276428569,0.441120977,0.666494333,1.151068826,2.699501778,4.582981845,40.30595996,52.86830057,54.56937337,58.49660471,62.06981466,64.41214689,65.87504349,69.60323175,74.13558018,79.13338409,87.91038305,95.05729105,98.90465646,100,105.9786282,107.6268552,106.8703396,107.3646213,109.7331845,112.1979012,116.0155878,120.2143301,
Bahrain,BHR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,40.39822513,48.03824255,54.63100815,52.61514189,52.39495801,51.43875289,42.49219048,42.77223461,43.63171174,45.3659241,47.55559915,46.66035317,45.01200513,43.65002525,46.85009131,47.36107049,47.4542401,47.89637843,44.51613436,45.69867597,59.40429226,57.40603409,59.36607676,64.47309138,71.55938341,81.3880417,88.58472778,96.05741004,106.9775085,93.07643911,100,109.7368549,113.0450469,113.479484,111.5831156,101.1286898,101.2639993,107.1804443,112.1853608,
"Bahamas, The",BHS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,8.708804817,8.809879315,8.905874627,9.025548581,9.161410259,9.345712888,9.698169492,10.15525126,10.6796157,11.63281122,12.34768768,12.91352684,13.78992385,14.55540576,16.48147996,18.23780881,18.67363139,18.99644302,19.42346098,21.08496259,23.19490646,27.29769752,28.30634951,29.99821068,30.94958458,33.56814448,35.13254993,37.44650181,38.00232422,38.69137147,40.65445986,41.69380723,43.32218601,42.95308816,43.89091168,44.24310784,44.67856779,76.80913312,79.15122227,83.06994253,83.835772,84.13210568,87.4644722,88.47440552,89.53125881,94.05862958,94.83738033,97.63272587,99.08642057,98.05933684,97.67427911,96.83590557,99.99981344,101.5249845,104.127885,111.466998,112.7290411,114.6544297,115.4334993,
Bosnia and Herzegovina,BIH,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3357795,51.52377968,42.73549081,48.29601139,47.53200467,51.50365017,66.33040987,68.29632241,71.34210516,71.99309542,78.07083154,75.91798736,81.83715087,86.91033128,93.30064383,93.47204081,94.87911463,97.23644569,97.88960186,97.66908309,98.65177738,100,101.4110519,104.1853989,107.0534755,
Belarus,BLR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07E-06,2.25E-06,2.55E-05,0.000295224,0.006039537,0.045991319,0.070695246,0.121348089,0.214276998,0.893092459,2.54791027,4.574379812,6.62798994,8.661809962,10.62588598,12.64184613,14.00066958,15.8029341,19.15529524,20.92881925,23.87897594,39.83798997,69.82698075,84.67030847,100,116.0224938,125.700994,136.540376,152.3213767,
