Country Name,2012,2013,2014,2015,2016,2017,2018
Aruba,102560,103159,103774,104341,104872,105366,105845
Afghanistan,31161376,32269589,33370794,34413603,35383128,36296400,37172386
Angola,25107931,26015780,26941779,27884381,28842484,29816748,30809762
Albania,2900401,2895092,2889104,2880703,2876101,2873457,2866376
Andorra,82427,80774,79213,78011,77297,77001,77006
Arab World,371443547,379705719,387907748,396028278,404024433,411898965,419790588
United Arab Emirates,9141596,9197910,9214175,9262900,9360980,9487203,9630959
Argentina,41733271,42202935,42669500,43131966,43590368,44044811,44494502
Armenia,2884229,2897584,2912403,2925553,2936146,2944809,2951776
American Samoa,55667,55713,55791,55812,55741,55620,55465
Antigua and Barbuda,90409,91516,92562,93566,94527,95426,96286
Australia,22733465,23128129,23475686,23815995,24190907,24601860,24992369
Austria,8429991,8479823,8546356,8642699,8736668,8797566,8847037
Azerbaijan,9295784,9416801,9535079,9649341,9757812,9854033,9942334
Burundi,9245988,9540289,9844297,10160030,10487998,10827024,11175378
Belgium,11106932,11159407,11209057,11274196,11331422,11375158,11422068
Benin,9729248,10004588,10286842,10575952,10872067,11175204,11485048
Burkina Faso,16571246,17072775,17586017,18110624,18646378,19193284,19751535
Bangladesh,151007807,152764676,154520167,156256276,157970840,159670593,161356039
Bulgaria,7305888,7265115,7223938,7177991,7127822,7075947,7024216
Bahrain,1299943,1315029,1336075,1371851,1425791,1494074,1569439
"Bahamas, The",363584,367168,370633,374206,377931,381761,385640
Bosnia and Herzegovina,3604972,3542605,3482104,3429361,3386267,3351527,3323929
Belarus,9464495,9465997,9474511,9489616,9501534,9498264,9485386
Belize,338000,345715,353366,360933,368400,375769,383071
Bermuda,64798,65001,65139,65239,64555,63874,63968
Bolivia,10377676,10542376,10706517,10869730,11031813,11192854,11353142
Brazil,199287296,201035903,202763735,204471769,206163058,207833831,209469333
Barbados,283700,284296,284825,285324,285796,286233,286641
Brunei Darussalam,398989,404421,409769,414907,419800,424473,428962
Bhutan,701583,710238,719056,727876,736709,745568,754394
Botswana,2039551,2062536,2088614,2120716,2159944,2205128,2254126
Central African Republic,4436415,4447942,4464175,4493170,4537687,4596028,4666377
Canada,34714222,35082954,35437435,35702908,36109487,36540268,37058856
Central Europe and the Baltics,103935318,103713726,103496179,103257751,102994343,102738854,102511922
Switzerland,7996861,8089346,8188649,8282396,8373338,8451840,8516543
Channel Islands,162056,163038,164100,165385,166923,168665,170499
Chile,17400347,17571507,17758959,17969353,18209068,18470439,18729160
